Product,Usage Identifier,nrFpuEdition,nrUnitOfMeasure
New Relic Volume Plan - Pro Compute Add On (EU DC) Usage Quantity,EU CCU,,EU CCU
New Relic Volume Plan - Pro Compute Add On (US DC) Usage Quantity,US CCU,,US CCU
New Relic Volume Plan - Pro Core Compute (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic Volume Plan - Pro Core Compute (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic Volume Plan - Pro O11y For All (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic Volume Plan - Pro O11y For All (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic Volume Plan - Pro Queries Usage Quantity,Scanned Events (In Billions),,Scanned Events (In Billions)
New Relic Volume Plan - Standard Queries Usage Quantity,Scanned Events (In Billions),,Scanned Events (In Billions)
New Relic Volume Plan - Stream Data Export (SDE) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Volume Plan - Stream Data Export (SDE) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Volume Plan - Stream Data Export (SDE) Usage Quantity,GB Ingested,,GB Ingested
New Relic Volume Plan - Vulnerability Management (NVM) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Volume Plan - Vulnerability Management (NVM) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Volume Plan - Vulnerability Management (NVM) Usage Quantity,GB Ingested,,GB Ingested
Prototype SP1.0 - Additional Synthetics Checks,Checks,,Checks
Prototype SP1.0 - Data,GB Ingested,,GB Ingested
